Round,Accuracy
0,0.11049400760011692
1,0.13724057293189126
2,0.16983338205203158
3,0.12072493422975739
4,0.12803273896521486
5,0.1359251680795089
6,0.21353405437006726
7,0.2806197018415668
8,0.21952645425314235
9,0.15054077755042386
10,0.19818766442560654
11,0.24992692195264543
12,0.17874890382928968
13,0.1821104940076001
14,0.1471791873721134
15,0.15054077755042383
16,0.18459514761765566
17,0.18313358667056417
18,0.23048816135632855
19,0.28412744811458635
20,0.23764980999707686
21,0.17261034785150542
22,0.17889505992399884
23,0.1806489330605086
24,0.1596024554223911
25,0.11546331482022801
26,0.14937152879275065
27,0.15010230926629642
28,0.13241742180648933
29,0.1720257234726688
30,0.13475591932183573
31,0.1509792458345513
32,0.1737795966091786
33,0.1826951183864367
34,0.20257234726688103
35,0.1769950306927799
36,0.3608593978368898
37,0.4615609470914937
38,0.221134171294943
39,0.19877228880444314
40,0.2433498976907337
41,0.23750365390236772
42,0.3633440514469453
43,0.32432037415960246
44,0.16895644548377667
45,0.3414206372405729
46,0.3291435252850044
47,0.2831043554516223
48,0.515638702133879
49,0.37123648056123937
50,0.18517977199649227
51,0.24583455130078924
52,0.19935691318327975
53,0.1769950306927799
54,0.263227126571178
55,0.20052616194095294
56,0.1853259280912014
57,0.3393744519146448
58,0.5245542239111372
59,0.44709149371528795
60,0.2794504530838936
61,0.29801227711195555
62,0.2616194095293774
63,0.18021046477638117
64,0.2052031569716457
65,0.21470330312774044
66,0.17246419175679628
67,0.2000876936568255
68,0.390382928968138
69,0.5201695410698626
70,0.4543992984507454
71,0.3661210172464192
72,0.30853551593101436
73,0.3050277696579947
74,0.4238526746565332
75,0.4846536100555393
76,0.26688102893890675
77,0.1983338205203157
78,0.3725518854136217
79,0.32168956445483776
80,0.2000876936568255
81,0.1322712657117802
82,0.13212510961707102
83,0.29655071616486406
84,0.4140602163110202
85,0.3143817597193803
86,0.279888921368021
87,0.4717918737211342
88,0.5963168664133294
89,0.3612978661210172
90,0.17904121601870798
91,0.24554223911137096
92,0.277842736042093
93,0.30268927214264835
94,0.34156679333528206
95,0.33893598363051736
96,0.2187956737795966
97,0.15229465068693365
98,0.22420344928383512
99,0.4672610347851506
