Round,Accuracy
0,0.13183279742765275
1,0.12028646594562993
2,0.07263957907044724
3,0.07263957907044724
4,0.10347851505407775
5,0.1590178310435545
6,0.1740719087985969
7,0.11838643671441099
8,0.13285589009061677
9,0.17772581116632563
10,0.12306343174510377
11,0.08930137386729026
12,0.13007892429114293
13,0.18079508915521775
14,0.1388482899736919
15,0.07117801812335575
16,0.07205495469161063
17,0.08389359836305174
18,0.07717041800643087
19,0.07132417421806489
20,0.07263957907044724
21,0.07249342297573809
22,0.0710318620286466
23,0.0710318620286466
24,0.07687810581701257
25,0.11882490499853843
26,0.17480268927214265
27,0.13373282665887168
28,0.08184741303712365
29,0.08959368605670856
30,0.1287635194387606
31,0.12028646594562993
32,0.0811166325635779
33,0.07775504238526747
34,0.0678164279450453
35,0.09295527623501901
36,0.15667933352820812
37,0.1965799473838059
38,0.19467991815258695
39,0.18854136217480266
40,0.12686349020754165
41,0.07132417421806489
42,0.07132417421806489
43,0.07132417421806489
44,0.07132417421806489
45,0.11458637825197311
46,0.11458637825197311
47,0.10494007600116925
48,0.12452499269219527
49,0.09090909090909091
50,0.07249342297573809
51,0.13402513884828998
52,0.13124817304881614
53,0.07497807658579363
54,0.08520900321543408
55,0.07103186202864659
56,0.1240865244080678
57,0.1786027477345805
58,0.12014030985092078
59,0.07439345220695703
60,0.1267173341128325
61,0.12686349020754165
62,0.07833966676410406
63,0.15784858228588133
64,0.1607717041800643
65,0.08988599824612686
66,0.08126278865828704
67,0.11444022215726396
68,0.11429406606255481
69,0.07249342297573809
70,0.07132417421806489
71,0.07132417421806489
72,0.07132417421806489
73,0.07132417421806489
74,0.07132417421806489
75,0.07863197895352236
76,0.10552470038000585
77,0.15375621163402514
78,0.1267173341128325
79,0.09763227126571178
80,0.09777842736042093
81,0.14060216311020168
82,0.1394329143525285
83,0.06387021338789828
84,0.09836305173925752
85,0.15799473838059047
86,0.14557147033031276
87,0.09251680795089155
88,0.13417129494299912
89,0.19555685472084183
90,0.16793335282081262
91,0.1370944168371821
92,0.09982461268634903
93,0.09894767611809413
94,0.1331482022800351
95,0.11546331482022801
96,0.08403975445776088
97,0.12949429991230635
98,0.1524408067816428
99,0.14367144109909383
