Round,Accuracy
0,0.16442560654779304
1,0.21938029815843318
2,0.2727272727272727
3,0.2768196433791289
4,0.315112540192926
5,0.407044723764981
6,0.46550716164864075
7,0.5980707395498392
8,0.5070154925460392
9,0.3117509500146156
10,0.28997369190295236
11,0.22888044431452792
12,0.21470330312774044
13,0.4280912014030985
14,0.6426483484361298
15,0.633002046185326
16,0.614440222157264
17,0.442268342589886
18,0.322858813212511
19,0.45615317158725516
20,0.6474714995615317
21,0.6521484945922245
22,0.4910844782227419
23,0.4674071908798597
24,0.3352820812627887
25,0.3057585501315405
26,0.5197310727857352
27,0.5928091201403098
28,0.5667933352820813
29,0.6660333235895937
30,0.6366559485530547
31,0.530254311604794
32,0.6582870505700087
33,0.6970184156679333
34,0.6530254311604794
35,0.708418591055247
36,0.753434668225665
37,0.6726103478515054
38,0.5996784565916399
39,0.5684010523238819
40,0.4580532008184741
41,0.5121309558608594
42,0.6176556562408653
43,0.7088570593393744
44,0.6686641332943584
45,0.5779011984799767
46,0.6803566208710903
47,0.6129786612101724
48,0.6129786612101724
49,0.744665302543116
50,0.7464191756796259
51,0.7261034785150541
52,0.7296112247880737
53,0.7483192049108447
54,0.6626717334112833
55,0.4953230049693072
56,0.45001461560947087
57,0.5853551593101433
58,0.7069570301081556
59,0.6028938906752411
60,0.46755334697456885
61,0.4504530838935984
62,0.5774627301958491
63,0.6515638702133879
64,0.6378251973107278
65,0.7157263957907045
66,0.7657117801812336
67,0.6641332943583748
68,0.6734872844197604
69,0.6265711780181233
70,0.3956445483776674
71,0.4378836597486115
72,0.5876936568254896
73,0.5581701256942414
74,0.5350774627301959
75,0.585062847120725
76,0.6223326512715581
77,0.5160771704180065
78,0.5334697456883952
79,0.6587255188541362
80,0.7117801812335575
81,0.7432037415960245
82,0.7059339374451914
83,0.7703887752119263
84,0.6971645717626425
85,0.6407483192049108
86,0.7155802396959954
87,0.7639579070447238
88,0.7532885121309558
89,0.7068108740134464
90,0.6397252265419469
91,0.58418591055247
92,0.6768488745980707
93,0.7408652440806782
94,0.7705349313066355
95,0.7033031277404268
96,0.7035954399298451
97,0.745542239111371
98,0.7225957322420344
99,0.798450745396083
