Round,Accuracy
0,0.20593393744519145
1,0.3838059047062262
2,0.42297573808827826
3,0.48859982461268636
4,0.6588716749488454
5,0.7740426775796551
6,0.5372698041508331
7,0.4707687810581701
8,0.6639871382636655
9,0.7380882782812044
10,0.7911429406606256
11,0.829728149663841
12,0.8132125109617071
13,0.7847120724934229
14,0.6905875475007308
15,0.5226541946799181
16,0.6077170418006431
17,0.7101724641917568
18,0.6920491084478223
19,0.7138263665594855
20,0.7461268634902076
21,0.7703887752119263
22,0.6499561531715872
23,0.6768488745980707
24,0.74057293189126
25,0.6547793042969892
26,0.7237649809997077
27,0.7483192049108447
28,0.7832505115463315
29,0.8007892429114294
30,0.7316574101140018
31,0.7427652733118971
32,0.7611809412452499
33,0.7072493422975739
34,0.6883952060800935
35,0.7326805027769658
36,0.7763811750950014
37,0.7790119847997661
38,0.7437883659748612
39,0.8023969599532301
40,0.782665887167495
41,0.7714118678748905
42,0.8390821397252266
43,0.8354282373574977
44,0.8145279158140895
45,0.67524115755627
46,0.6910260157848582
47,0.8221280327389653
48,0.8497515346389944
49,0.8636363636363636
50,0.8339666764104063
51,0.7981584332066647
52,0.7879275065770243
53,0.8354282373574977
54,0.7724349605378544
55,0.7310727857351651
56,0.8193510669394913
57,0.8624671148786904
58,0.8200818474130371
59,0.8155510084770534
60,0.8016661794796842
61,0.7864659456299328
62,0.8186202864659456
63,0.8015200233849751
64,0.8307512423268051
65,0.8669979538146741
66,0.8503361590178311
67,0.8250511546331483
68,0.8012277111955568
69,0.8313358667056416
70,0.8319204910844782
71,0.7456883952060801
72,0.7993276819643379
73,0.853113124817305
74,0.8399590762934814
75,0.8655363928675825
76,0.8748903829289681
77,0.8640748319204912
78,0.854282373574978
79,0.8504823151125402
80,0.8158433206664718
81,0.8377667348728441
82,0.8751826951183864
83,0.8865828705057002
84,0.8610055539315989
85,0.8656825489622917
86,0.8773750365390236
87,0.840543700672318
88,0.8617363344051447
89,0.8883367436422098
90,0.8574978076585793
91,0.8403975445776088
92,0.8452206957030108
93,0.8367436422098802
94,0.854282373574978
95,0.8238819058754749
96,0.830605086232096
97,0.8949137679041217
98,0.8846828412744812
99,0.8490207541654486
